0,1
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and Grenadines,Saint Vincent and Grenadines
Saint-Martin (French part),Saint-Martin (French part)
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
"Taiwan, Republic of China","Taiwan, Republic of China"
Tajikistan,Tajikistan
"Tanzania, United Republic of","Tanzania, United Republic of"
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States of America,United States of America
United States of America,AK
United States of America,AL
United States of America,AR
United States of America,AS
United States of America,AZ
United States of America,CA
United States of America,CO
United States of America,CT
United States of America,DC
United States of America,DE
United States of America,FL
United States of America,GA
United States of America,GU
United States of America,HI
United States of America,IA
United States of America,ID
United States of America,IL
United States of America,IN
United States of America,KS
United States of America,KY
United States of America,LA
United States of America,MA
United States of America,MD
United States of America,ME
United States of America,MI
United States of America,MN
United States of America,MO
United States of America,MP
United States of America,MS
United States of America,MT
United States of America,NC
United States of America,ND
United States of America,NE
United States of America,NH
United States of America,NJ
United States of America,NM
United States of America,NV
United States of America,NY
United States of America,OH
United States of America,OK
United States of America,OR
United States of America,PA
United States of America,PR
United States of America,RI
United States of America,SC
United States of America,SD
United States of America,TN
United States of America,TX
United States of America,UT
United States of America,VA
United States of America,VI
United States of America,VT
United States of America,WA
United States of America,WI
United States of America,WV
United States of America,WY
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Viet Nam,Viet Nam
Western Sahara,Western Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
