KeyFamilyId,KeyFamilyName
FDI_FLOW_PARTNER,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'FDI flows by partner country')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'IDE flux par pays partenaire')])]"
SITC_SECTION,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Trade in value classified by sections of SITC')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Commerce en valeur par sections de la CTCI')])]"
PARTNER,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Trade in value by partner countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Commerce en valeur par pays partenaires')])]"
MW_CURP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Minimum wages at current prices in NCU')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Salaires minimim à prix contstant en monnaie nationale')])]"
TABLE2A,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Aid (ODA) disbursements to countries and regions [DAC2a]')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Versements d'aide (APD) vers les pays et régions [CAD2a]"")])]"
TENURE_AVE,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Employment by job tenure intervals - average tenure')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Emploi par tranche d'ancienneté -ancienneté moyenne"")])]"
TABLE2B,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Other official flows (OOF) and export credits - disbursements [DAC2b]')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Autres apports du secteur public (AASP) et crédits à l'exportation - versements [CAD2b]"")])]"
FISH_PAT_RD,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Fisheries R&D expenditures')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Pêcheries dépenses en R&D')])]"
STI_STEEL_MAKINGCAPACITY,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Steelmaking capacity')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Steelmaking capacity')])]"
TSEC1,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'I: TEC by Size Classes')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'I: CCE par Classes de Taille')])]"
PT1,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'General insurance statistics')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Information statistique générale')])]"
PT7,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Gross claims payments')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Sinistres bruts')])]"
PT3,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Insurance business by domestic and foreign risks')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Operations d'assurance par risques nationaux et étrangers"")])]"
PT8,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Gross operating expenses')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Dépenses brutes d'exploitation"")])]"
PT6,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Destinations of investments by direct insurance or reinsurance companies')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Destinations des investissements des entreprises d'assurance directe ou de réassurance"")])]"
PT2,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Business written in the reporting country')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Opérations conclues dans le pays déclarant')])]"
PT9,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Commissions in the reporting country')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Commissions dans le pays déclarant')])]"
PT5,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Insurance business written in the reporting country')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Opérations d'Assurance conclues dans le pays déclarant"")])]"
PT4,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Insurance business written abroad by branches')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Opérations à l'étranger par succursale"")])]"
TOURISM_REC_EXP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Receipts and expenditure')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Recettes et dépenses')])]"
CRS1,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Creditor Reporting System (CRS)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Système de notification des pays créanciers (SNPC)')])]"
HIGH_AGLINK_2016,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'OECD-FAO Agricultural Outlook 2016-2025')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives Agricoles de l’OCDE et de la FAO 2016-2025')])]"
GD_BREAKDOWNS_4,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Data for the breakdown visualisations of the Going Digital portal - part 4')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Data for the breakdown visualisations of the Going Digital portal - part 4')])]"
GD_BREAKDOWNS_5,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Data for the breakdown visualisations of the Going Digital portal - part 5')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Data for the breakdown visualisations of the Going Digital portal - part 5')])]"
TISP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'EBOPS 2002 - Trade in services by partner country')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'EBOPS 2002 - Échanges de services par pays partenaires')])]"
AFA_IN3,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Inward activity of multinationals by industrial sector (manufacturing) - ISIC Rev 3')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Activité domestique des multinationales par secteur industriel (manufacturier) - CITI Rev 3')])]"
SNA_TABLE1,"[OrderedDict([('@xml:lang', 'en'), ('#text', '1. Gross domestic product (GDP)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '1. Produit intérieur brut (PIB)')])]"
SNA_TABLE2,"[OrderedDict([('@xml:lang', 'en'), ('#text', '2. Disposable income and net lending - net borrowing')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '2. Revenu disponible et capacité - Besoin de financement')])]"
SNA_TABLE3,"[OrderedDict([('@xml:lang', 'en'), ('#text', '3. Population and employment by main activity')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '3. Population et emploi par activité')])]"
SNA_TABLE4,"[OrderedDict([('@xml:lang', 'en'), ('#text', '4. PPPs and exchange rates')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '4. PPA et taux de change')])]"
SNA_TABLE5,"[OrderedDict([('@xml:lang', 'en'), ('#text', '5. Final consumption expenditure of households')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '5. Dépense de consommation finale des ménages')])]"
SNA_TABLE6,"[OrderedDict([('@xml:lang', 'en'), ('#text', '6. Value added and its components by activity, ISIC rev3')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '6. Valeur ajoutée par activité, CITI rev3')])]"
SNA_TABLE7,"[OrderedDict([('@xml:lang', 'en'), ('#text', '7. Labour input by activity, ISIC rev3')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '7. Emploi par activité, CITI rev3')])]"
SNA_TABLE8,"[OrderedDict([('@xml:lang', 'en'), ('#text', '8. Capital formation by activity, ISIC rev3')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '8. Formation de capital par activité, CITI rev3')])]"
SNA_TABLE9,"[OrderedDict([('@xml:lang', 'en'), ('#text', '9. Fixed assets by activity and by type of product, ISIC rev3')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '9. Actifs fixes par activité et par type de produit, CITI rev3')])]"
POP_FIVE_HIST,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Population')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Population')])]"
EO76_MAIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 76 - December 2004 - Annual Projections for OECD Countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 76 - décembre 2004 - Projections annuelles pour les pays OCDE')])]"
SNA_TABLE13,"[OrderedDict([('@xml:lang', 'en'), ('#text', '13. Simplified non-financial accounts')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '13. Comptes non financiers simplifiés')])]"
SNA_TABLE610,"[OrderedDict([('@xml:lang', 'en'), ('#text', '610. Financial accounts - consolidated')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '610. Comptes financiers - consolidés')])]"
SNA_TABLE620,"[OrderedDict([('@xml:lang', 'en'), ('#text', '620. Financial accounts - non consolidated')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '620. Comptes financiers - non consolidés')])]"
SNA_TABLE710,"[OrderedDict([('@xml:lang', 'en'), ('#text', '710. Financial balance sheets - consolidated')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '710. Comptes de patrimoine financier - consolidésS')])]"
SNA_TABLE720,"[OrderedDict([('@xml:lang', 'en'), ('#text', '720. Financial balance sheets - non consolidated')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '720. Comptes de patrimoine financier - non consolidés')])]"
SNA_TABLE750,"[OrderedDict([('@xml:lang', 'en'), ('#text', '750. General Government Debt - Maastricht')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '750. Dette des Administrations publiques Maastricht')])]"
AIRTRANS_CO2,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Air Transport CO2 Emissions')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Émissions de CO2 du transport aérien')])]"
EO76_TRADE,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 76 - December 2004 - Annual Trade and Payments Projections')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 76 - décembre 2004 - Projections annuelles des commerces et paiements')])]"
MEI_BTS_COS,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Business Tendency and Consumer Opinion Surveys (MEI)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Opinions des industriels et des ménages (PIE)')])]"
REF_TOTAL_ODF,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Total official development flows by country and region (ODF)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Flux privés au développement par pays et région (FPD)')])]"
TABLE_II2,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Table II.2. Targeted statutory corporate income tax rate')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Table II.2. Targeted statutory corporate income tax rate')])]"
INSIND,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Insurance indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Indicateurs pour les assurances')])]"
AEO11_INDEPTH_CHAPTER6_TAB2_EN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Table 6.2: Shares of traditional and emerging partners in Africa’s imports, exports and total trade, 2000 and 2009 (in percentage)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Tableau 6.2 : Parts des partenaires traditionnels et des partenaires émergents dans les exportations, les importations et le total des flux en Afrique, 2000 et 2009 (en pourcentage)')])]"
EO79_MAIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 79 - June 2006 - Annual Projections for OECD Countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives économiques No 79 - Juin 2006 - Projections annuelles pour les pays OCDE')])]"
7II_INDIC,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Institutional investors indicators - archived')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Indicateurs des investisseurs institutionnels - archivé')])]"
PATS_COOP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'International co-operation in patents')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Coopération internationale dans les brevets')])]"
LFS_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'LFS by sex and age')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Données sur la marché du travail par sexe et âge')])]"
PATS_IPC,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Patents by technology')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Brevets par technologies')])]"
SNA_TABLE12,"[OrderedDict([('@xml:lang', 'en'), ('#text', '12. Government deficit/surplus, revenue, expenditure and main aggregates')]), OrderedDict([('@xml:lang', 'fr'), ('#text', '12. Principaux agrégats des administrations publiques, y compris déficit/surplus, recettes et dépenses')])]"
MSTI_PUB,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Main Science and Technology Indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Principaux indicateurs de la science et de la technologie')])]"
DUR_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of unemployment by duration')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Fréquence de chômage selon la durée')])]"
DUR_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Unemployment by duration')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Chômage selon la durée')])]"
FTPTC_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'FTPT employment based on a common definition')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Emploi FTPT basée sur une définition commune')])]"
FTPTC_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of FTPT employment - common definition')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Fréquence de l'emploi FTPT - définition commune"")])]"
LFS_SEXAGE_I_C,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'LFS by  sex and age - composition')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Données sur la marché du travail par sexe et âge - composition')])]"
EO80_MAIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic Outlook No 80 - December 2006 - Annual Projections for OECD Countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Perspectives Economiques No 80 - Decembre 2006 - Projections annuelles pour les pays OCDE')])]"
SOCX_AGG,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Social Expenditure - Aggregated data')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Dépenses sociales - Données agrégées')])]"
LFS_SEXAGE_I_R,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'LFS by sex and age - indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Données sur la marché du travail par sexe et âge - indicateurs')])]"
TEMP_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Employment by permanency of the job')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Emploi permanent temporaire')])]"
TEMP_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of permanent employment')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Fréquence de l'emploi permanent temporaire"")])]"
TABLE_III1,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Table III.1. Employee social security contribution rates')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Table III.1. Employee social security contribution rates')])]"
INVPT_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Involuntary part time workers')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Emploi à temps partiel involontaire')])]"
INVPT_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of involuntary part time workers')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Fréquence de l emploi à temps partiel involontaire')])]"
ECONSH_I,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Incidence of economic short time workers')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Fréquence des personnes en chômage partiel')])]"
REFSERIES_MSIT,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Exchange rates')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Taux de change')])]"
MEI_FIN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Monthly Monetary and Financial Statistics (MEI)')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Statistiques monétaires et financières mensuelles (PIE)')])]"
TABLE_I2,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Table I.2. Sub-central personal income tax rates-non-progressive systems')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Table I.2. Sub-central personal income tax rates-non-progressive systems')])]"
TSEC2,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'II: TEC by Top enterprises')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'II: CCE par Top entreprises')])]"
ALFS_SUMTAB,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'ALFS Summary tables')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'ALFS tableaux résumés')])]"
TSEC4,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'IV: TEC by number of partner countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'IV: CCE par nombre de pays partenaires')])]"
PPPGDP,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Purchasing Power Parities for GDP and related indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Parités de pouvoir d'achat pour le PIB et indicateurs dérivés"")])]"
TENURE_DIS,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Employment by job tenure intervals - persons')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Emploi par tranche d'ancienneté - effectifs"")])]"
ECONSH_D,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Economic short time workers')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Personnes en chômage partiel')])]"
TOURISM_KEY_IND_PC,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Key tourism indicators')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Indicateurs clés du tourisme')])]"
AEO11_OVERVIEW_CHAPTER1_FIG1_EN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Figure 1.1: Africa´s economic growth')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Figure 1.1 : Croissance économique en Afrique')])]"
AEO11_OVERVIEW_CHAPTER1_FIG2_EN,"[OrderedDict([('@xml:lang', 'en'), ('#text', ""Figure 1.2: Assessment of Africa's current economic situation and expectations for the next six months"")]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Figure 1.2 : Évaluation de la situation économique de l'Afrique et attentes pour les six prochains mois en Afrique"")])]"
PROFSVC,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Professional Services 2013.')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Services professionnels 2013')])]"
STAN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'STAN Database for Structural Analysis ed2005')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Base de données STAN pour l Analyse Structurelle éd2005')])]"
TABLE5,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Aid (ODA) by sector and donor [DAC5]')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Aide (APD) par secteur et par donneur [CAD5]')])]"
AEO11_OVERVIEW_CHAPTER1_FIG3_EN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Figure 1.3: Terms of trade in selected resource-rich countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Figure 1.3 : Termes de l'échange dans plusieurs pays riches en ressources naturelles"")])]"
TABLE1,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Total flows by donor (ODA+OOF+Private) [DAC1]')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Flux totaux par donneur (APD+AASP+privé) [CAD1]')])]"
AEO11_OVERVIEW_CHAPTER1_FIG4_EN,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Figure 1.4: Terms of trade in selected resource-poor countries')]), OrderedDict([('@xml:lang', 'fr'), ('#text', ""Figure 1.4 : Termes de l'échange dans plusieurs pays pauvres en ressources naturelles"")])]"
RETAIL,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Regulation in retail trade 2013.')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Réglementation dans le commerce de détail 2013')])]"
TISX,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'TIS Extra Series')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'TIS Extra Series')])]"
DP_STAGING_TEST,"[OrderedDict([('@xml:lang', 'en'), ('#text', 'Staging Cube - Test')]), OrderedDict([('@xml:lang', 'fr'), ('#text', 'Staging Cube - Test')])]"
